
=== Imprimindo Tabela ===
[157] - Lista vazia!	 Numero de repeticoes: [0]
[158] - Lista vazia!	 Numero de repeticoes: [0]
[159] - Lista vazia!	 Numero de repeticoes: [0]
[160] - Lista vazia!	 Numero de repeticoes: [0]
[161] - Lista vazia!	 Numero de repeticoes: [0]
[162] - Lista vazia!	 Numero de repeticoes: [0]
[163] - Lista vazia!	 Numero de repeticoes: [0]
[164] - Lista vazia!	 Numero de repeticoes: [0]
[165] - Lista vazia!	 Numero de repeticoes: [0]
[166] - Lista vazia!	 Numero de repeticoes: [0]
[167] - Lista vazia!	 Numero de repeticoes: [0]
[168] - Lista vazia!	 Numero de repeticoes: [0]
[169] - Lista vazia!	 Numero de repeticoes: [0]
[170] - Lista vazia!	 Numero de repeticoes: [0]
[171] - Lista vazia!	 Numero de repeticoes: [0]
[172] - Lista vazia!	 Numero de repeticoes: [0]
[173] - Lista vazia!	 Numero de repeticoes: [0]
[174] - Lista vazia!	 Numero de repeticoes: [0]
[175] - Lista vazia!	 Numero de repeticoes: [0]
[176] - Lista vazia!	 Numero de repeticoes: [0]
[177] - Lista vazia!	 Numero de repeticoes: [0]
[178] - Lista vazia!	 Numero de repeticoes: [0]
[179] - Lista vazia!	 Numero de repeticoes: [0]
[180] - Lista vazia!	 Numero de repeticoes: [0]
[181] - Lista vazia!	 Numero de repeticoes: [0]
[182] - Lista vazia!	 Numero de repeticoes: [0]
[183] - Lista vazia!	 Numero de repeticoes: [0]
[184] - Lista vazia!	 Numero de repeticoes: [0]
[185] - Lista vazia!	 Numero de repeticoes: [0]
[186] - Lista vazia!	 Numero de repeticoes: [0]
[187] - Lista vazia!	 Numero de repeticoes: [0]
[188] - Lista vazia!	 Numero de repeticoes: [0]
[189] - Lista vazia!	 Numero de repeticoes: [0]
[190] - Lista vazia!	 Numero de repeticoes: [0]
[191] - Lista vazia!	 Numero de repeticoes: [0]
[192] - Lista vazia!	 Numero de repeticoes: [0]
[193] - Lista vazia!	 Numero de repeticoes: [0]
[194] - Lista vazia!	 Numero de repeticoes: [0]
[195] - Lista vazia!	 Numero de repeticoes: [0]
[196] - Lista vazia!	 Numero de repeticoes: [0]
[197] - Lista vazia!	 Numero de repeticoes: [0]
[198] - Lista vazia!	 Numero de repeticoes: [0]
[199] - Lista vazia!	 Numero de repeticoes: [0]
[200] - Lista vazia!	 Numero de repeticoes: [0]
[201] - Lista vazia!	 Numero de repeticoes: [0]
[202] - Lista vazia!	 Numero de repeticoes: [0]
[203] - Lista vazia!	 Numero de repeticoes: [0]
[204] - Lista vazia!	 Numero de repeticoes: [0]
[205] - Lista vazia!	 Numero de repeticoes: [0]
[206] - Lista vazia!	 Numero de repeticoes: [0]
[207] - Lista vazia!	 Numero de repeticoes: [0]
[208] - Lista vazia!	 Numero de repeticoes: [0]
